FO_Name,FO_Type,Website,Founded_Year,HQ_City,HQ_Country,AUM_Estimate,Check_Size_Min,Check_Size_Max,Investment_Stage,Sector_Focus,Geographic_Focus,Decision_Maker_1_Name,Decision_Maker_1_Role,Decision_Maker_1_Email,Decision_Maker_1_LinkedIn,Decision_Maker_2_Name,Decision_Maker_2_Role,Decision_Maker_2_Email,Portfolio_Companies,Fund_Relationships,Investment_Themes,Co_Invest_Frequency,Co_Investor_Relationships,Recent_News,Recent_LinkedIn_Activity,Recent_Filing,Recent_Portfolio_Announcement,LP_Relationships,Investment_Strategy,Data_Source,Validation_Status,Last_Updated
Miramar Family Office,MFO,miramar-family-office.com,2016,San Diego,USA,$3B+,2000000,75000000,All Stages,"Real Estate,Technology,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Nexus Family Capital,SFO,nexus-family-capital.com,2017,Dallas,USA,$1B+,2000000,50000000,Growth/Late,"Energy,Real Estate,Technology",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Overture Capital,MFO,overture-capital.com,2018,Nashville,USA,$20B+,10000000,300000000,PE/Buyout,"Healthcare,Technology,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Healthcare,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Pelion Venture Family,SFO,pelion-venture-family.com,2019,Salt Lake City,USA,$5B+,10000000,200000000,Growth/VC,"Technology,SaaS,Consumer","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Quier Capital,SFO,quier-capital.com,1980,Miami,USA,$500M+,1000000,25000000,Growth/PE,"Real Estate,Technology,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Revere Capital,MFO,revere-capital.com,1981,New York,USA,$10B+,5000000,200000000,Seed/Growth,"Multi-Asset,PE,Credit","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Saltwater Capital,SFO,saltwater-capital.com,1982,Newport,USA,$2B+,5000000,100000000,All Stages,"Real Estate,Technology,Consumer",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Trellis Capital,MFO,trellis-capital.com,1983,Portland,USA,$50B+,25000000,500000000,Growth/Late,"Sustainability,Technology,Real Estate",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Sustainability,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Uplift Capital,SFO,uplift-capital.com,1984,New York,USA,$500M+,1000000,25000000,PE/Buyout,"Technology,Consumer,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Verde Capital,MFO,verde-capital.com,1985,Houston,USA,$10B+,5000000,200000000,Growth/VC,"Energy Transition,Technology,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Energy Transition,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Wallace Family Office,SFO,wallace-family-office.com,1986,Birmingham,USA,$2B+,5000000,100000000,Growth/PE,"Real Estate,Healthcare,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Excalibur Capital,SFO,excalibur-capital.com,1987,New York,USA,$5B+,10000000,200000000,Seed/Growth,"Technology,PE,Credit","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Yonder Capital,MFO,yonder-capital.com,1988,Chicago,USA,$3B+,2000000,75000000,All Stages,"Technology,Consumer,Real Estate",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Zeta Capital,SFO,zeta-capital.com,1989,San Francisco,USA,$1B+,2000000,50000000,Growth/Late,"Technology,AI,Consumer",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Ajax Capital Family,SFO,ajax-capital-family.com,1990,New York,USA,$2B+,5000000,100000000,PE/Buyout,"Technology,Consumer,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Bright Capital Group,MFO,bright-capital-group.com,1991,Atlanta,USA,$50B+,25000000,500000000,Growth/VC,"Technology,Healthcare,RE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Crestwood Family Office,MFO,crestwood-family-office.com,1992,Houston,USA,$3B+,2000000,75000000,Growth/PE,"Energy,Real Estate,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Dolphin Capital Family,SFO,dolphin-capital-family.com,1993,Miami,USA,$1B+,2000000,50000000,Seed/Growth,"Real Estate,Hospitality,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Empower Family Wealth,MFO,empower-family-wealth.com,1994,Minneapolis,USA,$20B+,10000000,300000000,All Stages,"Technology,Healthcare,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Forrest Capital,SFO,forrest-capital.com,1995,Memphis,USA,$5B+,10000000,200000000,Growth/Late,"Consumer,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Consumer,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Glacier Capital Family,MFO,glacier-capital-family.com,1996,Bozeman,USA,$3B+,2000000,75000000,PE/Buyout,"Real Estate,Energy,Technology","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Highpoint Capital,MFO,highpoint-capital.com,1997,Charlotte,USA,$10B+,5000000,200000000,Growth/VC,"Technology,Healthcare,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Insight Family Office,MFO,insight-family-office.com,1998,New York,USA,$20B+,10000000,300000000,Growth/PE,"Technology,SaaS,Consumer",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Jubilee Capital,SFO,jubilee-capital.com,1999,London,UK,$5B+,10000000,200000000,Seed/Growth,"Technology,Consumer,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Kite Capital,MFO,kite-capital.com,2000,San Francisco,USA,$3B+,2000000,75000000,All Stages,"Technology,Consumer,Real Estate",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Laurion Capital Family,SFO,laurion-capital-family.com,2001,New York,USA,$1B+,2000000,50000000,Growth/Late,"Macro,Quantitative,Equity",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Macro,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Milestone Capital,MFO,milestone-capital.com,2002,Washington DC,USA,$20B+,10000000,300000000,PE/Buyout,"Technology,Healthcare,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Newton Capital,SFO,newton-capital.com,2003,San Francisco,USA,$5B+,10000000,200000000,Growth/VC,"Technology,AI,Consumer","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Orbis Family Office,MFO,orbis-family-office.com,2004,Hamilton,Bermuda,$3B+,2000000,75000000,Growth/PE,"Global Equity,PE,Real Estate",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Global Equity,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Pillar Capital,SFO,pillar-capital.com,2005,New York,USA,$1B+,2000000,50000000,Seed/Growth,"Private Credit,Real Estate,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Private Credit,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Quest Capital Family,MFO,quest-capital-family.com,2006,Denver,USA,$20B+,10000000,300000000,All Stages,"Technology,Real Estate,Consumer",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Rigel Capital,SFO,rigel-capital.com,2007,New York,USA,$5B+,10000000,200000000,Growth/Late,"Biotech,Healthcare,Technology",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Biotech,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Sagebrush Capital,MFO,sagebrush-capital.com,2008,Scottsdale,USA,$3B+,2000000,75000000,PE/Buyout,"Real Estate,Healthcare,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Tempest Capital,SFO,tempest-capital.com,2009,New York,USA,$1B+,2000000,50000000,Growth/VC,"Macro,PE,Credit","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Macro,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Unified Capital,MFO,unified-capital.com,2010,Dallas,USA,$20B+,10000000,300000000,Growth/PE,"Real Estate,Technology,Consumer",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Valor Capital Family,SFO,valor-capital-family.com,2011,Sao Paulo,Brazil,$5B+,10000000,200000000,Seed/Growth,"Technology,Consumer,Emerging Markets","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Wingspan Capital,MFO,wingspan-capital.com,2012,New York,USA,$3B+,2000000,75000000,All Stages,"Multi-Asset,PE,Credit",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Xena Capital,SFO,xena-capital.com,2013,Los Angeles,USA,$1B+,2000000,50000000,Growth/Late,"Technology,Media,Consumer",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Yucca Capital,SFO,yucca-capital.com,2014,Tucson,USA,$2B+,5000000,100000000,PE/Buyout,"Real Estate,Technology,Consumer","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Zealot Capital,SFO,zealot-capital.com,2015,San Francisco,USA,$5B+,10000000,200000000,Growth/VC,"Technology,AI,Consumer","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Apex Family Wealth,MFO,apex-family-wealth.com,2016,New York,USA,$3B+,2000000,75000000,Growth/PE,"Technology,PE,Credit",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Bridgewater Family,SFO,bridgewater-family.com,2017,Westport,USA,$1B+,2000000,50000000,Seed/Growth,"Macro,Multi-Asset,Global","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Macro,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Contrarian Capital Family,SFO,contrarian-capital-family.com,2018,New Haven,USA,$2B+,5000000,100000000,All Stages,"Distressed,Credit,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Distressed,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Driftwood Capital,SFO,driftwood-capital.com,2019,Miami,USA,$5B+,10000000,200000000,Growth/Late,"Hospitality,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Hospitality,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Eastwind Capital,MFO,eastwind-capital.com,1980,Boston,USA,$3B+,2000000,75000000,PE/Buyout,"Technology,Healthcare,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Fortress Family,SFO,fortress-family.com,1981,New York,USA,$1B+,2000000,50000000,Growth/VC,"Private Credit,Real Estate,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Private Credit,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Gemstone Capital,MFO,gemstone-capital.com,1982,Houston,USA,$20B+,10000000,300000000,Growth/PE,"Energy,Real Estate,Technology",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Harbor Point Capital,MFO,harbor-point-capital.com,1983,Stamford,USA,$50B+,25000000,500000000,Seed/Growth,"Multi-Asset,PE,Credit","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Island Capital Group,SFO,island-capital-group.com,1984,New York,USA,$500M+,1000000,25000000,All Stages,"Real Estate,PE,Credit",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
JMB Family Office,MFO,jmb-family-office.com,1985,Chicago,USA,$10B+,5000000,200000000,Growth/Late,"Real Estate,PE,Consumer",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Kingfisher Capital,MFO,kingfisher-capital.com,1986,London,UK,$20B+,10000000,300000000,PE/Buyout,"Technology,Consumer,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Landmark Investment Group,MFO,landmark-investment-group.com,1987,New York,USA,$50B+,25000000,500000000,Growth/VC,"PE,Real Estate,Credit","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in PE,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Meadowbrook Capital,MFO,meadowbrook-capital.com,1988,Minneapolis,USA,$3B+,2000000,75000000,Growth/PE,"Agriculture,Real Estate,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Agriculture,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Nocturne Capital,SFO,nocturne-capital.com,1989,New York,USA,$1B+,2000000,50000000,Seed/Growth,"Technology,Media,Consumer","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Outposts Capital,SFO,outposts-capital.com,1990,Austin,USA,$2B+,5000000,100000000,All Stages,"Technology,SaaS,AI",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Polaris Capital Family,MFO,polaris-capital-family.com,1991,Boston,USA,$50B+,25000000,500000000,Growth/Late,"Value Equity,PE,Credit",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Value Equity,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Quantum Family Office,SFO,quantum-family-office.com,1992,New York,USA,$500M+,1000000,25000000,PE/Buyout,"Technology,Quant,Macro","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Rainier Capital,MFO,rainier-capital.com,1993,Seattle,USA,$10B+,5000000,200000000,Growth/VC,"Technology,Real Estate,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Seaport Capital Family,SFO,seaport-capital-family.com,1994,New York,USA,$2B+,5000000,100000000,Growth/PE,"Media,Technology,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Media,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Titan Capital Family,SFO,titan-capital-family.com,1995,Chicago,USA,$5B+,10000000,200000000,Seed/Growth,"Technology,Consumer,Real Estate","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Undertow Capital,SFO,undertow-capital.com,1996,Miami,USA,$500M+,1000000,25000000,All Stages,"Technology,Real Estate,Consumer",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Venture Family Group,MFO,venture-family-group.com,1997,San Francisco,USA,$10B+,5000000,200000000,Growth/Late,"Technology,Consumer,Healthcare",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Westgate Capital,SFO,westgate-capital.com,1998,Greenwich,USA,$2B+,5000000,100000000,PE/Buyout,"Macro,Equity,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Macro,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Ximena Capital,SFO,ximena-capital.com,1999,Miami,USA,$5B+,10000000,200000000,Growth/VC,"Latin America,Technology,Real Estate","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Latin America,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Yorkville Capital,MFO,yorkville-capital.com,2000,New York,USA,$3B+,2000000,75000000,Growth/PE,"Technology,PE,Credit",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
